crop,cropgrids_name
wheat,wheat
dryland-rice,
wetland-rice,rice
maize,maize
barley,barley
oat,oats
rye,rye
sorghum,sorghum
buckwheat,buckwheat
foxtail-millet,millet
pearl-millet,
soybean,soybean
dry-pea,pea
chickpea,chickpea
cowpea,cowpea
gram,
phaseolus-bean,bean
pigeonpea,pigeonpea
white-potato,potato
sweet-potato,sweetpotato
cassava,cassava
yam,yam
tomato,tomato
carrot,carrot
onion,onion
cabbage,cabbage
banana,banana
citrus,citrusnes
coconut,coconut
sunflower,sunflower
rapeseed,rapeseed
groundnut,groundnut
sesame,sesame
oil-palm,oilpalm
olive,olive
sugarcane,sugarcane
sugarbeet,sugarbeet
alfalfa,alfalfa
biomass-sorghum,maizefor
